timestamp,success,group
2019-04-09 13:19:05,False,B
2019-04-09 13:30:06,False,A
2019-04-09 13:57:22,False,B
2019-04-09 13:59:06,False,B
2019-04-09 14:00:57,False,A
2019-04-09 14:01:48,False,B
2019-04-09 14:03:10,False,A
2019-04-09 14:03:43,False,B
2019-04-09 14:05:42,False,B
2019-04-09 14:05:59,False,A
2019-04-09 14:12:02,False,B
2019-04-09 14:14:20,False,A
2019-04-09 14:14:57,False,A
2019-04-09 14:16:19,False,A
2019-04-09 14:19:22,False,A
2019-04-09 14:19:59,False,B
2019-04-09 14:21:06,False,B
2019-04-09 14:22:26,False,A
2019-04-09 14:23:55,False,A
2019-04-09 14:24:11,False,B
2019-04-09 14:25:50,False,A
2019-04-09 14:26:14,False,B
2019-04-09 14:26:46,False,B
2019-04-09 14:27:18,False,A
2019-04-09 14:27:28,False,B
2019-04-09 14:30:20,False,A
2019-04-09 14:34:48,False,A
2019-04-09 14:35:25,False,B
2019-04-09 14:37:12,False,A
2019-04-09 14:37:40,False,A
2019-04-09 14:37:45,False,B
2019-04-09 14:38:44,False,B
2019-04-09 14:38:45,False,B
2019-04-09 14:39:07,False,B
2019-04-09 14:40:31,False,A
2019-04-09 14:42:00,False,B
2019-04-09 14:42:13,False,A
2019-04-09 14:43:04,False,A
2019-04-09 14:43:10,False,A
2019-04-09 14:43:17,False,B
2019-04-09 14:44:04,False,A
2019-04-09 14:46:50,False,B
2019-04-09 14:48:46,False,B
2019-04-09 14:49:18,False,A
2019-04-09 14:49:44,False,B
2019-04-09 14:49:48,False,A
2019-04-09 14:52:02,False,A
2019-04-09 14:54:57,False,A
2019-04-09 14:55:45,False,A
2019-04-09 14:57:45,False,A
2019-04-09 14:59:21,False,B
2019-04-09 14:59:38,False,B
2019-04-09 15:01:13,False,B
2019-04-09 15:01:30,False,A
2019-04-09 15:02:37,False,B
2019-04-09 15:02:51,False,B
2019-04-09 15:05:30,False,B
2019-04-09 15:07:27,False,B
2019-04-09 15:08:04,False,B
2019-04-09 15:08:17,False,A
2019-04-09 15:08:28,False,A
2019-04-09 15:09:49,True,A
2019-04-09 15:10:13,False,A
2019-04-09 15:12:36,False,A
2019-04-09 15:14:04,False,A
2019-04-09 15:14:26,False,A
2019-04-09 15:17:09,False,A
2019-04-09 15:18:23,False,A
2019-04-09 15:18:42,False,B
2019-04-09 15:21:04,False,A
2019-04-09 15:26:41,False,B
2019-04-09 15:27:37,False,A
2019-04-09 15:29:33,False,B
2019-04-09 15:31:39,False,A
2019-04-09 15:32:10,False,B
2019-04-09 15:33:55,False,A
2019-04-09 15:36:47,False,B
2019-04-09 15:38:31,False,B
2019-04-09 15:39:58,False,B
2019-04-09 15:40:30,False,A
2019-04-09 15:41:12,False,A
2019-04-09 15:41:52,False,B
2019-04-09 15:42:17,False,B
2019-04-09 15:42:33,False,A
2019-04-09 15:42:36,False,B
2019-04-09 15:44:18,False,B
2019-04-09 15:44:41,False,A
2019-04-09 15:45:49,False,B
2019-04-09 15:45:57,False,A
2019-04-09 15:46:26,False,B
2019-04-09 15:47:59,False,A
2019-04-09 15:47:59,False,B
2019-04-09 15:50:22,False,A
2019-04-09 15:50:34,False,A
2019-04-09 15:51:01,False,A
2019-04-09 15:51:09,False,B
2019-04-09 15:51:16,False,A
2019-04-09 15:51:27,False,A
2019-04-09 15:53:36,False,B
2019-04-09 15:57:11,False,A
2019-04-09 15:57:24,False,A
2019-04-09 15:58:48,False,B
2019-04-09 15:59:00,False,B
2019-04-09 16:02:12,False,A
2019-04-09 16:02:38,False,A
2019-04-09 16:02:51,False,B
2019-04-09 16:03:23,False,B
2019-04-09 16:04:16,False,A
2019-04-09 16:04:52,False,B
2019-04-09 16:05:05,False,A
2019-04-09 16:05:14,False,B
2019-04-09 16:05:39,False,B
2019-04-09 16:06:53,False,B
2019-04-09 16:06:53,False,A
2019-04-09 16:06:54,False,B
2019-04-09 16:07:27,False,B
2019-04-09 16:07:36,False,A
2019-04-09 16:08:18,False,B
2019-04-09 16:08:35,False,A
2019-04-09 16:09:01,False,B
2019-04-09 16:09:23,False,B
2019-04-09 16:10:37,False,A
2019-04-09 16:12:11,False,A
2019-04-09 16:12:30,False,A
2019-04-09 16:14:28,False,A
2019-04-09 16:15:33,False,B
2019-04-09 16:15:33,False,B
2019-04-09 16:16:04,False,A
2019-04-09 16:16:40,False,A
2019-04-09 16:16:57,False,A
2019-04-09 16:16:57,False,A
2019-04-09 16:17:11,False,B
2019-04-09 16:17:28,False,B
2019-04-09 16:17:28,True,A
2019-04-09 16:18:51,False,B
2019-04-09 16:19:07,False,B
2019-04-09 16:19:44,False,B
2019-04-09 16:20:38,False,A
2019-04-09 16:21:16,False,B
2019-04-09 16:21:49,False,A
2019-04-09 16:22:25,False,A
2019-04-09 16:24:09,False,B
